No	|	English	|	Vietnamese
111		ambassador		đại sứ
112		ambition		nguyện vọng
113		ambitious		đầy tham vọng
114		amenity		tiện ích
115		among		giữa
116		amount		số lượng
117		analysis		phân tích
118		analyst		nhà phân tích
119		ancient		cổ xưa
120		and		và
121		anger		sự tức giận
122		angle		góc
123		angry		tức giận
124		animal		động vật
125		anniversary		kỷ niệm
126		announce		tuyên bố
127		annual		hàng năm
128		another		một cái khác
129		answer		trả lời
130		ant		khẩu
131		anticipate		dự đoán
132		anxiety		nỗi lo âu
133		anxious		buồn phiền
134		any		bất kỳ
135		anybody		bất kỳ ai
136		anymore		không nữa
137		anyone		bất kỳ ai
138		anything		bất kỳ thứ gì
139		anyway		dù sao đi nữa
140		anywhere		bất cứ nơi nào
141		apart		không kết nối
142		apartment		căn hộ
143		apologize		xin lỗi
144		apology		lời xin lỗi
145		apparent		rõ ràng
146		apparently		hoàn toàn có vẻ
147		appeal		kêu gọi
148		appear		xuất hiện
149		appearance		sự xuất hiện
150		apple		quả táo
151		applicant		người xin việc
152		application		ứng dụng
153		apply		áp dụng
154		appoint		bổ nhiệm
155		appointment		cuộc hẹn
156		appreciate		đánh giá cao
157		appreciation		sự đánh giá cao
158		approach		tiếp cận
159		approve		chấp thuận
160		approximately		khoảng
161		april		tháng tư
162		arab		người ả rập
163		arbitrary		tùy ý
164		architecture		kiến trúc
165		area		khu vực
166		argue		tranh luận
167		argument		điều luận
168		arise		xuất phát
169		arm		cánh tay
170		army		quân đội
171		around		xung quanh
172		arrange		sắp xếp
173		arrangement		sự sắp xếp
174		arrest		bắt giữ
175		arrival		sự đến
176		arrive		đến
177		art		nghệ thuật
178		article		bài báo
179		artificial		nhân tạo
180		artist		nghệ sĩ
181		as		như
182		ash		hàn
183		asian		người á châu
184		aside		bên cạnh
185		ask		hỏi
186		asleep		ngủ
187		aspect		góc độ
188		assault		tấn công
189		assert		đòi hỏi
190		assessment		đánh giá
191		asset		tài sản
192		assign		giao
193		assignment		nhiệm vụ
194		assist		hỗ trợ
195		assistance		sự giúp đỡ
196		assistant		trợ lý
197		associate		liên kết
198		association		hội
199		assume		giả định
200		assumption		giả định
201		assure		đảm bảo
202		at		tại
203		athlete		vận động viên
204		athletic		thể thao
205		atmosphere		bầu không khí
206		attach		gắn kết
207		attachment		đính kèm
208		attack		tấn công
209		attempt		cố gắng
210		attend		tham dự
211		attendance		sự tham dự
212		attention		sự chú ý
213		attitude		thái độ
214		attorney		luật sư
215		attract		lôi kéo
216		attraction		nơi thu hút
217		attractive		hấp dẫn
218		attribute		đặc tính
219		audience		đám đông
220		august		tháng tám
221		aunt		cô
222		author		tác giả
223		authority		quyền lực
224		auto		tự động
225		available		sẵn có
226		average		trung bình
227		avoid		tránh
228		award		phần thưởng
229		aware		hiểu biết
230		awareness		sự nhận thức
231		away		đi xa
232		awful		kinh khủng
233		baby		em bé
234		back		phía sau
235		background		phông nền
236		backward		ngược lại
237		bacteria		vi khuẩn
238		bad		xấu
239		badly		một cách tồi tệ
240		bag		túi
241		balance		cân bằng
242		ball		bóng
243		ban		cấm
244		band		băng nhóm
245		bank		nhà băng
246		bar		quán bar
247		base		cơ sở
248		baseball		bóng chày
249		basic		cơ bản
250		basically		cơ bản
251		basis		cơ sở
252		basket		rổ
253		basketball		bóng rổ
254		bathroom		phòng tắm
255		battery		pin
256		battle		trận đánh
257		bay		vịnh
258		be		là
259		beach		bãi biển
260		bean		hạt đậu
261		bear		gấu
262		beat		đánh bại
263		beautiful		đẹp
264		beauty		vẻ đẹp
265		because		bởi vì
266		become		trở thành
267		bed		giường
268		bedroom		phòng ngủ
269		beef		thịt bò
270		before		trước
271		begin		bắt đầu
272		beginning		bắt đầu
273		behave		hành xử
274		behavior		hành vi
275		behind		ở phía sau
276		being		đang tồn tại
277		belief		tin tưởng
278		believe		tin
279		bell		chuông
280		belong		thuộc về
281		below		dưới
282		belt		dây đai
283		bench		ghế đá
284		bend		uốn cong
285		beneath		dưới
286		benefit		lợi ích
287		beside		bên cạnh
288		besides		ngoài ra
289		best		tốt nhất
290		bet		cược
291		better		tốt hơn
292		between		giữa
293		beyond		vượt ra ngoài
294		bible		kinh thánh
295		big		lớn
296		bike		xe đạp
297		bill		hóa đơn
298		billion		tỷ
299		bind		buộc
300		biological		sinh học
301		bird		chim
302		birth		sinh
303		birthday		sinh nhật
304		bit		một chút
305		bite		cắn
306		black		đen
307		blame		trách móc
308		blank		trống
309		blanket		chiếu
310		blind		mù
311		block		khối
312		blood		máu
313		blow		thổi
314		blue		màu xanh da trời
315		board		hội đồng
316		boat		thuyền
317		body		cơ thể
318		bomb		quả bom
319		bombing		sự đánh bom
320		bond		kết nối
321		bone		xương
322		book		sách
323		boom		tăng trưởng nhanh chóng
324		boot		ủng
325		border		biên giới
326		born		sinh ra
327		borrow		mượn
328		boss		sếp
329		both		cả hai
330		bother		làm phiền
331		bottle		chai
332		bottom		đáy
333		bound		liên quan
334		boundary		ranh giới
335		bow		cung
336		bowl		tô
337		box		hộp
338		boy		trai
339		boyfriend		bạn trai
340		brain		não
341		branch		chi nhánh
342		brand		thương hiệu
343		bread		bánh mì
344		break		pause
345		breakfast		bữa sáng
346		breast		vú
347		breath		hơi thở
348		breathe		thở
349		breathing		hít thở
350		brick		gạch
351		bridge		cây cầu
352		brief		tóm tắt
353		briefly		tóm tắt
354		bright		sáng
355		brilliant		lộng lẫy
356		bring		mang
357		british		người anh
358		broad		rộng
359		broadcast		phát sóng
360		broken		hỏng
361		brother		anh em trai
362		brown		nâu
363		brush		chổi
364		buck		đô la
365		budget		kinh phí
366		build		xây dựng
367		building		toà nhà
368		bullet		đạn
369		bunch		nhóm
370		burden		gánh nặng
371		burn		đốt cháy
372		bury		chôn
373		bus		xe buýt
374		business		doanh nghiệp
375		busy		bận rộn
376		but		nhưng
377		butter		bơ
378		button		nút
379		buy		mua
380		buyer		khách hàng
381		by		bởi
382		cabinet		tủ
383		cable		dây cáp
384		cake		bánh
385		calculate		tính toán
386		calculation		sự tính toán
387		call		gọi
388		camera		máy ảnh
389		camp		trại
390		campaign		chiến dịch
391		campus		khuôn viên
392		can		có thể
393		canadian		người canada
394		cancer		ung thư
395		candidate		ứng viên
396		candle		nến
397		cannot		không thể
398		canvas		vải
399		cap		mũ lưỡi trai
400		capability		khả năng
401		capacity		sức chứa
402		capital		thủ đô
403		captain		đội trưởng
404		capture		bắt
405		car		xe hơi
406		card		thẻ
407		care		quan tâm
408		career		nghề nghiệp
409		careful		cẩn thận
410		carefully		cẩn thận
411		carry		mang
412		case		trường hợp
413		cash		tiền mặt
414		cast		đúc
415		cat		mèo
416		catch		bắt
417		category		hạng mục
418		catholic		công giáo
419		cause		nguyên nhân
420		ceiling		trần nhà
421		celebrate		kỷ niệm
422		celebration		lễ kỷ niệm
423		cell		tế bào
424		cemetery		nghĩa trang
425		center		trung tâm
426		central		trung tâm
427		century		thế kỷ
428		ceo		tổng giám đốc điều hành
429		ceremony		nghi lễ
430		certain		chắc chắn
431		certainly		chắc chắn
432		certificate		chứng chỉ
433		chain		xích
434		chair		ghế
435		chairman		chủ tịch
436		challenge		thách thức
437		chamber		phòng
438		chance		cơ hội
439		change		thay đổi
440		changing		thay đổi
441		channel		kênh
442		chapter		chương
443		character		ký tự
444		characteristic		đặc điểm
445		characterize		đặc trưng
446		charge		tính phí
447		charity		từ thiện
448		chart		bảng biểu
449		chase		truy đuổi
450		cheap		rẻ
451		check		kiểm tra
452		cheek		má
453		cheese		pho mát
454		chef		đầu bếp
455		chemical		hóa học
456		chest		ngực
457		chicken		gà
458		chief		chủ
459		child		trẻ em
460		childhood		thời thơ ấu
461		chinese		người trung quốc
462		chip		vi chip
463		chocolate		sô cô la
464		choice		lựa chọn
465		choose		chọn
466		christian		người kitô giáo
467		christmas		giáng sinh
468		church		ngôi nhà thờ
469		cigarette		tràng
470		circle		vòng tròn
471		circumstance		tình huống
472		citizen		công dân
473		city		thành phố
474		civil		dân sự
475		claim		đòi hỏi
476		class		lớp học
477		classic		kiểu cách
478		classroom		phòng học
479		clean		sạch sẽ
480		clear		rõ ràng
481		clearly		rõ ràng
482		client		khách hàng
483		climate		khí hậu
484		climb		leo lên
485		clinic		phòng khám
486		clinical		điều trị lâm sàng
487		clock		đồng hồ
488		close		gần
489		closed		kín
490		closet		tủ quần áo
491		cloth		vải
492		clothes		quần áo
493		clothing		quần áo
494		cloud		mây
495		club		câu lạc bộ
496		clue		gợi ý
497		cluster		cụm
498		coach		huấn luyện viên
499		coal		than đá
500		coast		bờ biển
501		coat		áo choàng
502		code		mã
503		coffee		cà phê
504		cognitive		cơ động
505		coin		đồng xu
506		cold		lạnh
507		collaboration		hợp tác
508		collapse		sụp đổ
509		colleague		đồng nghiệp
510		collect		ghi
511		collection		bộ sưu tập
512		collector		người thu gom
513		college		trường đại học
514		colonial		thuộc thuộc địa
515		color		màu
516		column		cột
517		combination		kết hợp
518		combine		kết hợp
519		come		đến
520		comedy		hài kịch
521		comfort		thoải mái
522		comfortable		thoải mái
523		command		ra lệnh
524		commander		người chỉ huy
525		comment		bình luận
526		commercial		thương mại
527		commission		ủy ban
528		commit		ủng hộ
529		commitment		ấn tượng
530		committee		ủy ban
531		common		chung
532		commonly		thường
533		communicate		giao tiếp
534		communication		giao tiếp
535		community		cộng đồng
536		company		công ty
537		comparable		tương tự
538		compare		so sánh
539		comparison		so sánh
540		compel		ep buộc
541		compensation		bồi thường
542		compete		cạnh tranh
543		competition		cạnh tranh
544		competitive		cạnh tranh
545		competitor		đối thủ
546		complain		phàn nàn
547		complaint		kháng nghị
548		complete		hoàn thành
549		completely		hoàn toàn
550		complex		phức tạp
551		complexity		phức tạp
552		complicate		làm phức tạp
553		complicated		phức tạp
554		component		thành phần
555		compose		sáng tác
556		composition		bài luận
557		comprehensive		toàn diện
558		comprise		bao gồm
559		compromise		thỏa hiệp
560		computer		máy tính
561		concentrate		tập trung
562		concentration		sự tập trung
563		concept		khái niệm
564		concern		quan tâm
565		concerned		quan tâm
566		concert		hội nhạc
567		conclusion		kết luận
568		concrete		bê tông
569		condition		điều kiện
570		conduct		hành vi
571		conference		hội nghị
572		confidence		tự tin
573		confident		tự tin
574		confirm		xác nhận
575		conflict		xung đột
576		confront		đối đầu
577		confuse		giống
578		confusion		sự lúng túng
579		congress		quốc hội
580		connect		kết nối
581		connection		kết nối
582		conscious		tiềm thức
583		consequence		hậu quả
584		conservative		bảo thủ
585		consider		xem xét
586		considerable		khá
587		consideration		sự xem xét
588		consist		gồm có
589		constant		liên tục
590		constantly		liên tục
591		constitute		cấu tạo
592		constitution		hiến pháp
593		construction		xây dựng
594		consult		tham khảo
595		consultant		cố vấn
596		consultation		sự tham khảo
597		consumer		khách hàng
598		consumption		tiêu thụ
599		contact		tiếp xúc
600		contain		chứa
601		container		thùng chứa
602		contemporary		đương đại
603		content		nội dung
604		contest		tranh giành
605		context		bối cảnh
606		continue		tiếp tục
607		continued		tiếp tục
608		contract		hợp đồng
609		contrast		sự tương phản
610		contribute		góp phần
611		contribution		đóng góp
612		control		kiểm soát
613		controversial		gây tranh cãi
614		controversy		tranh cãi
615		convenience		tiện lợi
616		convenient		thuận tiện
617		convention		hiệp định
618		conventional		truyền thống
619		conversation		cuộc trò chuyện
620		convert		chuyển đổi
621		conviction		tin ngưỡng
622		convince		thuyết phục
623		cook		nấu ăn
624		cookie		bánh quy
625		cooking		nấu nướng
626		cool		mát mẻ
627		cooperation		hợp tác
628		cooperative		hợp tác
629		coordinate		phối hợp
630		coordination		sự phối hợp
631		cop		cảnh sát
632		cope		chịu đựng
633		copy		sao chép
634		core		cốt lõi
635		corn		lúa mạch
636		corner		góc
637		corporate		doanh nghiệp
638		corporation		tập đoàn
639		correct		correct
640		correctly		correctly
641		correlation		tương quan
642		correspond		phù hợp
643		correspondent		phóng viên
644		corruption		tham nhũng
645		cost		giá cả
646		cottage		nhà tranh
647		cotton		bông
648		couch		sofa
649		could		có thể
650		council		hội đồng
651		counsel		loại bỏ
652		counseling		tư vấn
653		counselor		cố vấn
654		count		đếm
655		counter		quầy thu ngân
656		country		đất nước
657		county		hạt
658		couple		cặp
659		courage		dũng khí
660		course		khóa học
661		court		tòa án
662		cousin		anh em họ
663		cover		phủ
664		coverage		phạm vi
665		cow		bò
666		crack		nứt
667		craft		nghề thủ công
668		crash		tai nạn
669		crazy		điên
670		cream		kem
671		create		tạo
672		creation		tạo ra
673		creative		sáng tạo
674		creativity		sáng tạo
675		creature		sinh vật
676		credit		tín dụng
677		crew		phi hành đoàn
678		crime		tội ác
679		criminal		phạm tội
680		crisis		khủng hoảng
681		criteria		tiêu chí
682		critic		nhà phê bình
683		critical		chính trị
684		criticism		sự phê bình
685		critique		bình luận
686		crop		vụ mùa
687		cross		băng qua
688		crowd		đám đông
689		crown		vương miện
690		crucial		rất quan trọng
691		cry		kêu lên
692		cultural		văn hóa
693		culture		văn hóa
694		cup		cốc
695		cure		chữa
696		curiosity		tò mò
697		curious		tò mò
698		currency		tiền tệ
699		current		hiện tại
700		currently		hiện nay
701		curriculum		chương trình giảng dạy
702		curve		đường cong
703		custom		thói quen
704		customer		khách hàng
705		cut		cắt
706		cycle		vòng lặp
707		dad		bố
708		daily		hằng ngày
709		damage		tổn thương
710		dance		vũ
711		danger		nguy hiểm
712		dangerous		nguy hiểm
713		dark		tối
714		darkness		bóng tối
715		data		dữ liệu
716		database		cơ sở dữ liệu
717		date		ngày
718		daughter		con gái
719		day		ngày
720		dead		chết
721		deadline		hạn chót
722		deal		điều khoản
723		dealer		người bán hàng
724		dear		quý
725		death		sự chết
726		debate		tranh luận
727		debt		nợ
728		decade		thập kỷ
729		decide		quyết định
730		decision		sự quyết định
731		declare		tuyên bố
732		decline		suống giảm
733		decorate		trang trí
734		decoration		trang trí
735		decrease		giảm
736		deep		sâu
737		deeply		một cách sâu sắc
738		deer		hươu
739		defeat		thất bại
740		defend		bảo vệ
741		defendant		bị cáo
742		defense		bảo vệ
743		defensive		phòng thủ
744		deficit		phát hành
745		define		xác định
746		definition		định nghĩa
747		degree		bằng cấp
748		delay		trì hoãn
749		deliver		giao hàng
750		delivery		giao hàng
751		demand		yêu cầu
752		democracy		dân chủ
753		democratic		dân chủ
754		demonstrate		đưa ra
755		demonstration		demonstration
756		deny		từ chối
757		department		bộ phận
758		depend		phụ thuộc
759		dependent		phụ thuộc
760		depending		tùy thuộc
761		depict		miêu tả
762		depression		ảm đạm
763		depth		sâu
764		deputy		phó
765		derive		phát xuất
766		describe		mô tả
767		description		sự mô tả
768		desert		sa mạc
769		deserve		xứng đáng
770		design		thiết kế
771		designer		người thiết kế
772		desire		khao khát
773		desk		bàn làm việc
774		desperate		tuyệt vọng
775		despite		mặc dù
776		destroy		phá hủy
777		destruction		sự phá hủy
778		detail		chi tiết
779		detailed		chi tiết
780		determine		xác định
781		develop		phát triển
782		development		phát triển
783		device		thiết bị
784		devote		hiến
785		dial		gọi
786		dialogue		đối thoại
787		die		chết
788		diet		chế độ ăn
789		differ		khác nhau
790		difference		sự khác biệt
791		different		khác biệt
792		differently		một cách khác biệt
793		difficult		khó khăn
794		difficulty		khó khăn
795		dig		khám phá
796		digital		kỹ thuật số
797		dimension		kích thước
798		dining		ăn uống
799		dinner		bữa tối
800		direct		trực tiếp
801		direction		hướng
802		directly		trực tiếp
803		director		giám đốc
804		dirt		bụi bẩn
805		dirty		bẩn
806		disability		tàn tật
807		disappear		mất
808		disappoint		thất vọng
809		disappointment		thất vọng
810		disaster		thảm họa
811		discipline		kỷ luật
812		disclose		tiết lộ
813		discount		chiết khấu
814		discover		khám phá
815		discovery		khám phá
816		discuss		bàn luận
817		discussion		thảo luận
818		disease		bệnh
819		disk		đĩa
820		dismiss		bãi bỏ
821		disorder		loạn thất
822		display		hiển thị
823		dispute		tranh chấp
824		distance		khoảng cách
825		distant		xa xôi
826		distinct		rõ ràng
827		distinction		sự phân biệt
828		distinguish		phân biệt
829		distribute		phân phối
830		distribution		phân phối
831		district		khu vực
832		disturb		làm phiền
833		diverse		đa dạng
834		diversity		sự đa dạng
835		divide		chia
836		division		phân cấp
837		divorce		ly dị
838		dna		dna
839		do		làm
840		doctor		bác sĩ
841		document		tài liệu
842		dog		chó
843		domestic		nội địa
844		dominant		kiểm soát
845		dominate		chiếm ưu thế
846		door		cửa
847		double		gấp đôi
848		doubt		nghi ngờ
849		down		xuống
850		downtown		trung tâm thành phố
851		dozen		mười hai
852		draft		bản nháp
853		drag		kéo
854		drama		kịch
855		dramatic		mạnh mẽ
856		draw		vẽ
857		drawer		kệ ngăn kéo
858		drawing		bản vẽ
859		dream		mơ ước
860		dress		ăn mặc
861		drink		uống
862		drive		điều khiển
863		driver		tài xế
864		drop		giảm
865		drug		thuốc
866		dry		khô
867		dual		đôi
868		due		đến hạn
869		dull		chán chường
870		during		trong suốt
871		dust		bụi
872		duty		nhiệm vụ
873		each		mỗi
874		eager		hăm hở
875		ear		tai
876		early		sớm
877		earn		kiếm được
878		earnings		lợi nhuận
879		earth		trái đất
880		ease		dễ dàng
881		easily		dễ dàng
882		east		phía đông
883		eastern		đông
884		easy		dễ dàng
885		eat		ăn
886		economic		kinh tế
887		economics		kinh tế học
888		economist		người kinh tế học
889		economy		nền kinh tế
890		edge		lề
891		edition		bản
892		everybody		mọi người
893		everyday		hàng ngày
894		everyone		mọi người
895		everything		mọi thứ
896		everywhere		mọi nơi
897		evidence		bằng chứng
898		evolution		tiến hóa
899		evolve		tiến hóa
900		exact		chính xác
901		exactly		đúng
902		exam		kỳ thi
903		examination		kiểm tra
904		examine		kiểm tra
905		example		ví dụ
906		excellent		xuất sắc
907		except		trừ
908		exception		ngoại lệ
909		exchange		trao đổi
910		exciting		thú vị
911		exclude		loại trừ
912		exclusive		duy nhất
913		excuse		lý do
914		executive		cố vấn
915		exercise		bài tập
916		exhibit		trưng bày
917		exhibition		trưng bày
918		exist		tồn tại
919		existence		sự tồn tại
920		exit		lối thoát
921		expand		mở rộng
922		expansion		mở rộng
923		expect		mong đợi
924		expectation		sự mong đợi
925		expense		chi phí
926		expensive		đắt tiền
927		experience		kinh nghiệm
928		experienced		đã có kinh nghiệm
929		experiment		thí nghiệm
930		expert		chuyên gia
931		explain		giải thích
932		explanation		sự giải thích
933		explode		nổ
934		exploit		khai thác
935		exploration		khám phá
936		explore		khám phá
937		export		xuất khẩu
938		expose		tiết lộ
939		exposure		sự tiếp xúc
940		express		bày tỏ
941		expression		biểu lộ
942		extend		mở rộng
943		extension		sự mở rộng
944		extensive		rộng lớn
945		extent		quy mô
946		external		bên ngoài
947		extra		phụ
948		extraordinary		phi thường
949		extreme		cực kỳ
950		extremely		rất
951		eye		mắt
952		face		khuôn mặt
953		facility		cơ sở vật chất
954		fact		sự thật
955		factor		yếu tố
956		factory		nhà máy
957		faculty		khoa
958		fail		thất bại
959		failure		sự thất bại
960		fair		công bằng
961		fairly		hợp lý
962		faith		tin
963		fall		rơi
964		false		sai
965		fame		danh tiếng
966		familiar		quen thuộc
967		family		gia đình
968		famous		nổi tiếng
969		fan		fan
970		fantastic		tuyệt vời
971		far		xa
972		farm		nông trại
973		farmer		nông dân
974		fashion		thời trang
975		fast		nhanh
976		fat		béo
977		fate		vận mệnh
978		father		cha
979		fault		lỗi
980		favorite		yêu thích
981		fear		nỗi sợ hãi
982		feature		đặc điểm
983		federal		liên bang
984		fee		phí
985		feed		cho ăn
986		feel		cảm thấy
987		feeling		cảm giác
988		fellow		bạn đồng nghiệp
989		female		nữ giới
990		fence		hàng rào
991		few		vài
992		fewer		ít hơn
993		fiber		sợi
994		fiction		hư cấu
995		field		lĩnh vực
996		fifteen		mười lăm
997		fifth		thứ năm
998		fifty		năm mươi
999		fight		tranh đấu
1000		fighter		nhà vô địch
1001		figure		hình dáng
1002		file		tệp
1003		fill		lấp đầy
1004		film		phim
1005		final		cuối cùng
1006		finally		cuối cùng
1007		finance		tài chính
1008		financial		tài chính
1009		find		tìm thấy
1010		finding		kết quả
1011		fine		tốt
1012		finger		ngón tay
1013		finish		kết thúc
1014		fire		lửa
1015		firm		công ty
1016		first		đầu tiên
1017		fish		cá
1018		fishing		câu cá
1019		fit		phù hợp
1020		fitness		thể lực
1021		five		năm
1022		fix		sửa chữa
1023		fixed		đã được sửa chữa
1024		flag		cờ
1025		flame		ngọn lửa
1026		flat		bằng phẳng
1027		flavor		vị
1028		flee		bỏ trốn
1029		flesh		thịt
1030		flight		chuyến bay
1031		float		nổi
1032		floor		sàn
1033		flow		lưu chuyển
1034		flower		hoa
1035		fly		bay
1036		focus		tập trung
1037		fold		gấp
1038		folk		dân gian
1039		follow		theo dõi
1040		following		tiếp theo
1041		food		thức ăn
1042		foot		chân
1043		football		bóng đá
1044		for		cho
1045		force		lực lượng
1046		foreign		nước ngoài
1047		forest		rừng
1048		forever		mãi mãi
1049		forget		quên
1050		forgive		tha thứ
1051		form		hình thức
1052		formal		chính thức
1053		former		trước đây
1054		formula		công thức
1055		fortune		vận may
1056		forward		về phía trước
1057		foundation		nền tảng
1058		frame		khung
1059		framework		khung
1060		free		miễn phí
1061		freedom		sự tự do
1062		freely		một cách tự do
1063		freeze		đông lạnh
1064		french		tiếng pháp
1065		frequency		tần suất
1066		frequent		thường xuyên
1067		frequently		thường xuyên
1068		fresh		tươi
1069		friend		bạn bè
1070		friendly		thân thiện
1071		friendship		tình bạn
1072		from		từ
1073		front		phía trước
1074		fruit		trái cây
1075		frustration		sự thất vọng
1076		fuel		nhiên liệu
1077		full		đầy đủ
1078		fully		hoàn toàn
1079		fun		niềm vui
1080		function		chức năng
1081		fund		quỹ
1082		fundamental		cơ bản
1083		funding		khoản tài trợ
1084		funny		vui nhộn
1085		furniture		nội thất
1086		further		thêm
1087		future		tương lai
1088		gain		đạt được
1089		galaxy		ngân hà
1090		gallery		phòng trưng bày
1091		game		trò chơi
1092		gap		khuyết
1093		garage		gara
1094		garden		vườn
1095		garlic		tỏi
1096		gas		gas
1097		gate		cổng
1098		gather		tập hợp
1099		gay		gay
1100		gaze		nhìn chằm chằm
1101		gear		bánh răng
1102		gender		giới tính
1103		gene		gene
1104		general		chung
1105		generally		thường
1106		generate		tạo ra
1107		generation		thế hệ
1108		generous		hào phóng
1109		genetic		genet
1110		gentle		hiền lành
1111		gently		một cách nhẹ nhàng
1112		german		tiếng đức
1113		gesture		cử chỉ
1114		get		lấy
1115		ghost		ma
1116		giant		khổng lồ
1117		gift		món quà
1118		girl		cô gái
1119		girlfriend		bạn gái
1120		give		cho
1121		given		đã cho
1122		glad		vui mừng
1123		glass		kính
1124		global		toàn cầu
1125		glove		găng tay
1126		go		đi
1127		goal		mục tiêu
1128		god		chúa
1129		gold		vàng
1130		golden		vàng
1131		golf		gôn
1132		good		tốt
1133		govern		quản lý
1134		government		chính phủ
1135		governor		thống đốc
1136		grab		nắm lấy
1137		grade		đánh giá
1138		gradually		dần dần
1139		grain		hạt
1140		grand		lớn
1141		grandfather		ông
1142		grandmother		bà
1143		grant		trao
1144		grass		cỏ
1145		grateful		biết ơn
1146		great		lớn
1147		greatly		một cách lớn lao
1148		greek		tiếng hy lạp
1149		green		xanh lá cây
1150		greet		chào hỏi
1151		gregory		gregory
1152		grey		xám
1153		grid		lưới
1154		grief		nỗi buồn
1155		grin		cười
1156		grip		lực cầm
1157		grocery		cửa hàng tạp hóa
1158		ground		mặt đất
1159		group		nhóm
1160		grow		tăng trưởng
1161		growing		tăng trưởng
1162		growth		sự phát triển
1163		guarantee		bảo đảm
1164		guard		bảo vệ
1165		guess		dự đoán
1166		guest		khách mời
